[EXTINCT ][2026-07-26 02:09:25] extinction #46 | ticks: 5170 | max Gen: 1 | avg Ein: 94.8 | avg Eout: 66.1
[EXTINCT ][2026-07-26 02:09:30] extinction #47 | ticks: 10928 | max Gen: 1 | avg Ein: 225.0 | avg Eout: 195.5
[EXTINCT ][2026-07-26 02:09:35] extinction #48 | ticks: 13740 | max Gen: 1 | avg Ein: 77.0 | avg Eout: 60.8
[EXTINCT ][2026-07-26 02:09:40] extinction #49 | ticks: 9346 | max Gen: 5 | avg Ein: 88.2 | avg Eout: 59.2
[EXTINCT ][2026-07-26 02:09:46] extinction #50 | ticks: 7576 | max Gen: 2 | avg Ein: 386.3 | avg Eout: 32.1
[EXTINCT ][2026-07-26 02:09:52] extinction #51 | ticks: 6686 | max Gen: 1 | avg Ein: 626.3 | avg Eout: 147.8
[EXTINCT ][2026-07-26 02:10:00] extinction #52 | ticks: 7762 | max Gen: 1 | avg Ein: 234.7 | avg Eout: 138.1
[EXTINCT ][2026-07-26 02:10:05] extinction #53 | ticks: 7557 | max Gen: 1 | avg Ein: 111.6 | avg Eout: 61.8
[EXTINCT ][2026-07-26 02:10:11] extinction #54 | ticks: 8057 | max Gen: 1 | avg Ein: 350.3 | avg Eout: 84.7
[EXTINCT ][2026-07-26 02:10:17] extinction #55 | ticks: 6389 | max Gen: 0 | avg Ein: 267.8 | avg Eout: 41.2
[EXTINCT ][2026-07-26 02:10:24] extinction #56 | ticks: 15165 | max Gen: 1 | avg Ein: 333.0 | avg Eout: 84.3
[EXTINCT ][2026-07-26 02:10:29] extinction #57 | ticks: 8722 | max Gen: 1 | avg Ein: 439.7 | avg Eout: 46.3
[EXTINCT ][2026-07-26 02:10:34] extinction #58 | ticks: 14706 | max Gen: 1 | avg Ein: 368.3 | avg Eout: 142.1
[EXTINCT ][2026-07-26 02:10:37] extinction #59 | ticks: 2374 | max Gen: 0 | avg Ein: 270.2 | avg Eout: 175.2
